genero,artista,cancion,popularidad,ano
reggaeton,Bryant Myers,Como Panas,76,2020
reggaeton,Bryant Myers,Narcotics (with Bryant Myers),74,2024
reggaeton,Bryant Myers,Triste,76,2018
reggaeton,Bryant Myers,Caile,76,2016
reggaeton,Bryant Myers,HASTA ABAJO,73,2019
reggaeton,Bryant Myers,Momentos,72,2018
reggaeton,Bryant Myers,Tuss,73,2024
reggaeton,Bryant Myers,Un Ratito Mas,73,2017
reggaeton,Sebastian Yatra,Vagabundo,82,2023
reggaeton,Sebastian Yatra,Pareja Del Año,76,2022
reggaeton,Sebastian Yatra,Tacones Rojos,75,2022
reggaeton,Sebastian Yatra,No Hay Nadie Más,77,2018
reggaeton,Sebastian Yatra,Robarte un Beso,77,2017
reggaeton,Sebastian Yatra,Traicionera,76,2018
reggaeton,Sebastian Yatra,Cristina,74,2019
reggaeton,Sebastian Yatra,Chica Ideal,72,2022
reggaeton,Sebastian Yatra,Un Año,71,2019
reggaeton,Sebastian Yatra,2AM,72,2024
reggaeton,Blessd,DEPORTIVO,85,2024
reggaeton,Blessd,57,85,2024
reggaeton,Blessd,Mírame,83,2024
reggaeton,Blessd,Soltera - W Sound 01,79,2024
reggaeton,Blessd,MIRAME REMIX,78,2024
reggaeton,Blessd,Ultra Complicado (feat. Sebas) - Remix,78,2025
reggaeton,Blessd,TE CANTO BAJITO,78,2025
reggaeton,Blessd,POLOS OPUESTOS REMIX - BLESSD VERSION,78,2024
reggaeton,Blessd,Instagram,76,2022
reggaeton,Blessd,"ACEITE DE COCO (feat. Ryan Castro, De La Ghetto, Darell, Sahir, Hades66, Kris R.)",76,2025
reggaeton,Nicky Jam,X (feat. Maluma & Ozuna) - Remix,85,2018
reggaeton,Nicky Jam,X,79,2019
reggaeton,Nicky Jam,Hasta el Amanecer,77,2017
reggaeton,Nicky Jam,El Perdón (with Enrique Iglesias),76,2017
reggaeton,Nicky Jam,CALOR,71,2024
reggaeton,Nicky Jam,En La Cama (feat. Daddy Yankee),74,2016
reggaeton,Nicky Jam,Cuaderno,73,2019
reggaeton,Nicky Jam,El Amante,73,2017
reggaeton,Nicky Jam,Bella y Sensual,73,2017
reggaeton,Nicky Jam,Donde Estan las Gatas,73,2001
reggaeton,Ñengo Flow,Safaera,77,2020
reggaeton,Ñengo Flow,Que Malo,73,2020
reggaeton,Ñengo Flow,Cuando Me Dirá,73,2012
reggaeton,Ñengo Flow,Delincuente,73,2022
reggaeton,Ñengo Flow,La Llevo Al Cielo (Ft. Ñengo Flow),72,2022
reggaeton,Ñengo Flow,Gato de Noche,61,2024
reggaeton,Ñengo Flow,47 - Remix,71,2017
reggaeton,Ñengo Flow,Profecía,70,2020
reggaeton,Ñengo Flow,En Las Noches Frias,69,2011
reggaeton,Ñengo Flow,ACHO PR,70,2023
reggaeton,Tainy,MOJABI GHOST,82,2023
reggaeton,Tainy,Callaita,78,2022
reggaeton,Tainy,Lo Siento BB:/,75,2023
reggaeton,Tainy,Adicto (with Anuel AA & Ozuna),78,2019
reggaeton,Tainy,I Can't Get Enough,30,2023
reggaeton,Tainy,UN DIA (ONE DAY),69,2021
reggaeton,Tainy,PARANORMAL,73,2023
reggaeton,Tainy,Pensándote,72,2020
reggaeton,Tainy,Sci-Fi,71,2023
reggaeton,Tainy,VOLVER,71,2023
reggaeton,Sech,Priti,79,2025
reggaeton,Sech,Volando - Remix,77,2021
reggaeton,Sech,Ignorantes,70,2020
reggaeton,Sech,Desde Mis Ojos - Remix,66,2025
reggaeton,Sech,Porno,72,2019
reggaeton,Sech,LA RANGER (feat. Myke Towers),70,2024
reggaeton,Sech,Quizas,71,2019
reggaeton,Sech,Sigues Con El,67,2019
reggaeton,Sech,Que Mas Pues - Remix,71,2019
reggaeton,Sech,Imaginate,70,2019
reggaeton,Lenny Tavárez,Toda - Remix,72,2022
reggaeton,Lenny Tavárez,Hola - Remix,74,2022
reggaeton,Lenny Tavárez,Nena Maldición (feat. Lenny Tavárez),77,2019
reggaeton,Lenny Tavárez,Medallo,72,2021
reggaeton,Lenny Tavárez,Mírame - Remix,65,2020
reggaeton,Lenny Tavárez,LA RANGER (feat. Myke Towers),70,2024
reggaeton,Lenny Tavárez,Percocet (Remix),71,2017
reggaeton,Lenny Tavárez,Parce (feat. Justin Quiles),69,2020
reggaeton,Lenny Tavárez,Elegí (feat. Dímelo Flow),69,2020
